property_id,title,type_id,deal_type,user_id,post_date,sell_date,location_id,size_sqm,floor,rooms,year_built,renovation_status,estimated_saleprice,estimated_rentprice
26,Race those future.,2,Sale,47,2021-01-02,2025-02-11,9,72.5,12,1,2012,Not Renovated,181973.37,727.89
27,Want appear Mr read.,2,Sale,44,2022-07-03,2025-01-20,46,27.4,2,3,1987,Partially Renovated,46089.69,184.36
28,Million read close trip successful.,2,Sale,33,2022-09-29,,44,131.1,11,3,1993,Newly Renovated,234413.16,937.65
29,Training nor approach dinner.,2,Rent,23,2025-01-08,2025-03-21,34,163.7,3,4,1997,Partially Renovated,321890.75,1287.56
30,Not cultural evening marriage.,1,Sale,6,2024-11-09,,14,197.8,7,2,1979,Partially Renovated,203962.97,815.85
31,Forget partner speak magazine able.,1,Rent,13,2025-02-21,2024-12-15,32,152.9,1,3,2009,Partially Renovated,201238.09,804.95
32,Care operation.,2,Rent,48,2022-04-20,2025-06-01,25,64.2,9,2,2021,Not Renovated,87473.67,349.89
33,Sport coach specific reflect.,1,Rent,18,2023-03-10,,5,57.6,5,3,1996,Newly Renovated,102003.88,408.02
34,World early break such interest.,2,Sale,21,2022-02-09,,17,126.0,11,5,1990,Newly Renovated,218050.43,872.2
35,How we rather.,2,Rent,2,2021-03-12,,24,147.9,10,2,1994,Not Renovated,210737.2,842.95
36,Break air course later they.,2,Sale,36,2021-10-21,2025-01-28,2,121.7,8,6,1967,Partially Renovated,221282.13,885.13
37,Generation campaign another good.,2,Sale,34,2024-03-01,,17,119.5,5,2,2001,Newly Renovated,180282.92,721.13
38,Network education song impact.,1,Sale,34,2021-08-07,2025-03-21,19,43.4,3,5,1980,Not Renovated,97074.1,388.3
39,Order performance around possible.,2,Rent,44,2023-03-17,,29,125.0,6,1,2002,Not Renovated,224318.27,897.27
40,Body travel.,2,Sale,29,2022-04-29,,48,48.4,11,6,1989,Partially Renovated,80965.3,323.86
41,Social specific people fine.,1,Sale,15,2023-01-28,,27,199.5,4,3,1983,Newly Renovated,308478.97,1233.92
42,Let door message claim.,2,Sale,49,2022-01-06,,48,158.5,2,4,1968,Newly Renovated,236025.69,944.1
43,Than always husband worker take.,1,Sale,2,2025-09-26,,3,118.8,11,6,1982,Partially Renovated,177268.24,709.07
44,Pretty process that it.,2,Sale,30,2022-01-30,2025-01-27,20,192.6,7,2,2010,Newly Renovated,502570.32,2010.28
45,Order sing cup.,2,Rent,8,2022-08-25,2025-02-16,34,58.6,9,6,1971,Partially Renovated,114151.35,456.61
46,Test big Democrat painting common.,1,Rent,40,2022-11-29,2025-03-24,39,173.2,2,5,1970,Not Renovated,328913.05,1315.65
47,Record often.,2,Rent,36,2024-06-10,2025-01-09,13,48.4,12,3,2010,Newly Renovated,95913.59,383.65
48,Exist adult she whatever.,1,Sale,32,2023-04-12,,42,128.7,5,2,1970,Partially Renovated,209798.75,839.2
49,Within happy program clear charge.,2,Rent,44,2023-11-26,2025-04-17,9,45.6,10,4,2006,Not Renovated,87498.71,349.99
50,Company technology eight who.,2,Rent,8,2021-04-29,2025-04-15,11,115.1,9,4,2001,Not Renovated,184742.06,738.97
51,Gas hope apply our.,1,Rent,32,2023-10-04,2025-02-03,48,133.0,5,1,2010,Newly Renovated,269425.85,1077.7
52,Plan sense area good employee.,1,Sale,3,2021-09-09,2024-11-22,42,140.8,4,4,2022,Newly Renovated,283721.66,1134.89
53,Door arm official.,2,Sale,44,2023-08-29,2025-03-31,29,153.9,7,1,2003,Partially Renovated,198397.07,793.59
54,Share investment.,2,Sale,39,2022-02-19,,34,57.1,10,6,2007,Newly Renovated,102398.67,409.59
55,South break.,2,Sale,13,2025-08-05,,9,152.3,4,5,2013,Newly Renovated,425817.55,1703.27
56,Single already loss suffer yes.,1,Rent,13,2024-08-26,,33,70.2,2,3,2011,Partially Renovated,165243.46,660.97
57,Seven up.,2,Sale,17,2023-11-29,2025-04-17,23,131.4,8,5,1993,Newly Renovated,340021.33,1360.09
58,That city.,2,Rent,27,2024-08-27,2025-05-01,14,64.9,10,1,1971,Not Renovated,107110.22,428.44
59,Under everything right.,2,Rent,8,2025-09-02,,8,162.9,9,4,1968,Not Renovated,304229.25,1216.92
60,Others religious ten.,2,Sale,32,2025-04-20,2024-11-17,18,156.0,1,6,2014,Partially Renovated,341649.58,1366.6
61,Magazine either.,1,Sale,20,2021-03-17,2025-06-21,18,165.3,5,5,2011,Partially Renovated,268712.91,1074.85
62,Must card Mr place line.,1,Rent,32,2023-07-12,2025-02-18,49,58.5,8,6,2021,Partially Renovated,122418.95,489.68
63,Capital talk contain.,2,Rent,39,2025-04-30,,50,99.5,11,3,1971,Partially Renovated,140785.84,563.14
64,Executive reduce area management.,2,Sale,27,2021-02-03,,9,142.3,10,5,2016,Partially Renovated,304259.62,1217.04
65,Dark here into century.,2,Rent,34,2024-12-24,2025-05-27,45,76.0,12,5,1990,Newly Renovated,119303.79,477.22
66,Occur national also power.,1,Rent,17,2024-04-04,,32,132.4,4,6,2020,Newly Renovated,422144.06,1688.58
67,Item mind against you believe.,2,Sale,20,2024-11-23,2024-11-19,18,109.6,11,3,1997,Partially Renovated,188687.36,754.75
68,Feeling leave.,1,Rent,17,2021-12-28,2025-04-01,49,50.5,6,6,1987,Newly Renovated,110555.71,442.22
69,Onto hot provide participant.,2,Sale,12,2024-05-16,2025-02-20,25,145.6,5,1,2019,Not Renovated,167474.64,669.9
70,Until near.,1,Sale,33,2025-02-27,2025-03-22,46,68.3,3,1,1980,Partially Renovated,92797.28,371.19
71,Whether citizen form.,2,Rent,20,2022-09-07,,19,90.3,12,2,2015,Not Renovated,157833.12,631.33
72,Stand compare explain.,2,Rent,27,2025-01-25,2024-12-31,46,165.2,2,6,1990,Not Renovated,296830.33,1187.32
73,Life style sign friend ball.,2,Rent,40,2025-12-13,2024-11-21,48,25.4,2,4,1973,Partially Renovated,73630.94,294.52
74,Among cause position single.,2,Sale,23,2022-04-28,2024-12-20,21,30.5,8,6,1972,Not Renovated,52432.22,209.73
75,Together drop.,2,Rent,14,2021-03-26,2025-05-17,8,64.0,8,2,2007,Not Renovated,141004.23,564.02
76,Whether sound reality share.,2,Sale,38,2021-08-15,,15,63.1,10,1,1987,Not Renovated,89784.86,359.14
77,Finish admit return before.,2,Sale,9,2023-03-01,2025-04-24,23,151.7,8,4,2023,Not Renovated,375786.8,1503.15
78,You amount.,1,Sale,24,2024-06-18,,26,131.4,7,3,1966,Partially Renovated,213683.91,854.74
79,Production involve adult.,1,Rent,40,2022-09-28,2025-03-31,5,152.8,9,3,1982,Newly Renovated,336549.12,1346.2
80,Market red fall gas.,1,Sale,5,2021-04-20,2025-04-19,39,87.7,3,3,1996,Not Renovated,182933.15,731.73
81,Degree religious.,1,Sale,30,2022-02-15,,17,126.8,8,4,2003,Newly Renovated,341357.07,1365.43
82,Bit challenge majority table look.,2,Sale,43,2024-11-12,,7,181.9,8,5,1988,Partially Renovated,294704.71,1178.82
83,Agreement nearly cell western serve.,2,Rent,2,2024-11-02,2024-12-28,49,138.3,9,4,1993,Newly Renovated,269876.7,1079.51
84,Prove short hotel approach fire.,1,Sale,26,2024-05-23,2025-02-25,4,56.5,6,3,1979,Partially Renovated,69173.31,276.69
85,Beyond approach positive effort.,2,Sale,4,2023-04-05,2025-05-03,39,32.4,4,3,1971,Not Renovated,42175.73,168.7
86,Production shoulder including run.,1,Rent,50,2023-05-13,,12,118.5,5,2,2015,Newly Renovated,203381.99,813.53
87,Whole wrong understand.,1,Rent,47,2021-10-02,2025-03-12,42,76.7,2,5,2015,Partially Renovated,184515.82,738.06
88,Hundred station talk factor really.,2,Rent,18,2024-08-16,2024-12-01,6,148.1,4,4,1988,Partially Renovated,379876.87,1519.51
89,Door center government hope.,1,Sale,44,2025-05-07,,18,119.5,5,5,1997,Not Renovated,280149.94,1120.6
90,Other stop child visit cold.,1,Sale,30,2025-05-18,,41,174.5,2,2,1999,Not Renovated,309846.64,1239.39
91,Director place near them.,2,Sale,26,2022-12-16,2025-01-14,10,76.8,2,4,1993,Not Renovated,104191.29,416.77
92,Baby because exist whom.,1,Sale,13,2021-01-02,2025-01-20,30,185.9,8,2,1997,Partially Renovated,360379.77,1441.52
93,Unit against provide ask.,2,Sale,44,2024-11-26,2025-05-17,18,41.1,11,4,2006,Partially Renovated,86736.82,346.95
94,Kind long hand many little.,2,Sale,33,2024-06-05,,10,104.4,11,3,2021,Newly Renovated,223895.86,895.58
95,Practice ten.,1,Sale,23,2025-04-06,,5,120.9,12,5,2012,Newly Renovated,287440.94,1149.76
96,Pass this miss doctor important.,1,Rent,36,2021-12-22,2025-02-17,21,171.0,5,3,2019,Partially Renovated,388427.06,1553.71
97,Big of staff.,1,Sale,37,2023-01-14,,3,93.9,8,2,1974,Not Renovated,161952.9,647.81
98,Arrive beat theory stock.,1,Rent,37,2022-04-03,,9,40.4,2,4,1997,Not Renovated,72558.54,290.23
99,Enter maybe them thus.,2,Rent,11,2021-10-24,,3,106.2,2,6,2018,Partially Renovated,194769.28,779.08
100,Hard step team newspaper seat.,1,Sale,34,2022-11-03,2025-02-25,17,97.9,12,6,1998,Partially Renovated,244915.99,979.66
101,While glass much which.,1,Rent,1,2022-01-06,,11,189.6,2,4,1965,Not Renovated,343574.75,1374.3
102,News program card car.,1,Sale,16,2022-08-06,,48,117.9,8,6,1966,Newly Renovated,189667.61,758.67
103,Fund central agreement.,2,Sale,6,2024-09-19,2025-01-24,2,35.3,3,6,2018,Newly Renovated,82098.91,328.4
104,Continue light keep story second.,2,Rent,17,2022-07-05,,7,57.0,1,4,1974,Not Renovated,125700.22,502.8
105,Spring task baby.,1,Rent,4,2021-01-04,2025-02-21,11,33.4,7,1,2024,Newly Renovated,103529.6,414.12
106,Employee information herself.,2,Sale,24,2023-11-07,,49,51.2,2,3,1974,Not Renovated,120580.17,482.32
107,Response book crime look interesting.,2,Sale,33,2025-05-16,,11,57.5,4,3,1986,Partially Renovated,76201.0,304.8
108,Per common production.,1,Rent,6,2021-05-09,2025-03-05,5,121.0,1,2,1990,Not Renovated,215596.73,862.39
109,Local ten serious mouth.,2,Sale,30,2025-11-14,2025-02-20,1,30.8,5,3,1980,Not Renovated,39072.55,156.29
110,Almost capital probably.,2,Sale,34,2024-02-16,,42,120.3,3,6,1974,Newly Renovated,290751.94,1163.01
111,Full administration pass beyond doctor.,2,Rent,19,2023-11-17,,16,147.7,1,4,1978,Not Renovated,186715.91,746.86
112,Stand serve include kid.,1,Rent,12,2025-06-14,,8,158.8,9,6,1967,Newly Renovated,382630.51,1530.52
113,Meeting college top probably.,1,Sale,19,2023-04-07,,1,56.4,12,2,1998,Partially Renovated,117027.41,468.11
114,Worry provide.,2,Rent,39,2021-08-14,2025-03-09,44,66.9,5,1,2001,Partially Renovated,120176.13,480.7
115,Affect people upon vote.,1,Sale,47,2021-07-29,,7,94.2,1,3,2005,Not Renovated,115791.29,463.17
116,Simple cold rock purpose.,2,Sale,43,2024-02-02,,27,48.2,8,3,1973,Newly Renovated,114820.87,459.28
117,No friend front population.,1,Sale,11,2024-10-04,,2,81.7,5,6,2017,Partially Renovated,216101.94,864.41
118,Then option this single.,2,Rent,10,2022-09-11,2025-01-07,13,56.9,8,6,2007,Not Renovated,109852.33,439.41
119,Capital central race.,2,Rent,23,2025-05-04,2025-03-20,47,181.0,9,3,1996,Partially Renovated,226676.95,906.71
120,Story lay back.,1,Sale,45,2022-05-21,2024-12-04,33,49.4,6,1,1992,Partially Renovated,76022.84,304.09
121,Once several.,1,Sale,16,2021-02-19,2025-03-02,38,152.9,12,6,2001,Partially Renovated,385511.56,1542.05
122,International become feel.,2,Rent,22,2022-11-21,,46,61.9,6,4,2021,Newly Renovated,99105.1,396.42
123,According thought but free new.,2,Rent,46,2023-12-20,2024-12-18,33,147.2,2,3,2001,Partially Renovated,267875.21,1071.5
124,Top edge quality.,1,Rent,2,2022-06-09,,31,124.8,12,1,2022,Partially Renovated,174243.0,696.97
125,Bad mean join your.,2,Rent,47,2022-05-15,,23,140.8,7,6,2021,Partially Renovated,366373.37,1465.49
126,Order of decide.,1,Rent,33,2024-02-15,,18,70.7,5,5,1979,Newly Renovated,102550.77,410.2
127,Wind rock spend challenge response.,2,Sale,27,2022-07-28,2025-01-20,17,184.5,8,1,2014,Not Renovated,263348.73,1053.39
128,Perform kid model team conference.,2,Sale,1,2025-02-09,,20,163.7,7,6,1982,Partially Renovated,256227.98,1024.91
129,Model sea might service.,1,Rent,12,2023-05-01,,24,197.2,8,1,1991,Partially Renovated,313942.89,1255.77
130,Center total picture summer.,1,Sale,20,2021-02-06,,49,62.5,1,5,2023,Partially Renovated,136594.65,546.38
131,Head force risk me.,1,Sale,47,2021-11-01,2025-05-01,33,71.7,6,4,1981,Not Renovated,159697.18,638.79
132,Indicate up.,2,Sale,17,2024-08-23,,31,32.9,7,2,2008,Not Renovated,36796.3,147.19
133,Simple gun be figure.,1,Sale,29,2025-07-13,2025-01-23,21,115.0,9,2,2003,Partially Renovated,250446.84,1001.79
134,Detail trade nation daughter still.,1,Rent,50,2025-08-09,2025-02-18,27,97.7,10,5,2008,Not Renovated,212672.44,850.69
135,Country gun begin.,1,Sale,36,2022-03-18,2025-01-19,30,48.8,6,4,1966,Partially Renovated,91033.62,364.13
136,Player executive indeed consumer very.,1,Sale,24,2022-04-19,,11,194.1,9,6,1984,Not Renovated,361124.77,1444.5
137,Almost show society show grow.,2,Rent,10,2022-12-26,,11,36.3,4,4,2013,Not Renovated,67860.86,271.44
138,Require game reflect.,2,Rent,14,2025-12-17,2025-04-01,34,133.9,8,5,1982,Newly Renovated,246791.4,987.17
139,Situation build cost report ability.,1,Sale,48,2023-10-21,,15,137.0,10,6,1970,Newly Renovated,355916.28,1423.67
140,Wrong art.,1,Rent,15,2024-10-29,,15,143.4,9,5,2010,Partially Renovated,192631.6,770.53
141,Nice learn somebody.,1,Sale,38,2023-06-27,,40,66.1,8,4,1999,Newly Renovated,178266.71,713.07
142,Effect exactly memory put west.,1,Sale,35,2022-11-07,2025-04-05,3,82.2,8,1,1972,Newly Renovated,197361.84,789.45
143,Yard night court west recently.,1,Rent,26,2024-07-03,2024-12-20,22,160.3,7,1,1996,Newly Renovated,270150.08,1080.6
144,Avoid blood remain.,1,Sale,8,2024-03-24,,47,109.9,3,4,2011,Newly Renovated,316577.9,1266.31
145,Picture modern order.,1,Sale,22,2022-06-05,,40,92.2,2,3,1976,Not Renovated,113334.68,453.34
146,Modern language.,2,Rent,48,2025-10-19,2025-01-10,5,140.8,4,4,1974,Newly Renovated,302961.96,1211.85
147,Week suddenly city.,1,Rent,42,2024-05-12,2024-12-11,46,176.2,1,3,2016,Newly Renovated,364032.0,1456.13
148,Miss forget Mrs hard.,1,Sale,2,2023-03-15,2024-11-29,25,167.2,9,1,1967,Partially Renovated,212916.75,851.67
149,Dog happen fear stock.,2,Sale,16,2025-05-27,,6,38.9,3,4,2018,Not Renovated,75841.77,303.37
150,Style consider speech across test.,1,Rent,23,2022-09-01,,13,192.9,9,3,1990,Partially Renovated,369473.44,1477.89
151,Health worker trade century.,2,Sale,8,2022-11-06,,39,131.0,3,3,2020,Newly Renovated,193129.7,772.52
152,Network recent economic.,1,Sale,5,2022-05-07,2025-01-29,10,97.0,11,4,1974,Newly Renovated,204728.24,818.91
153,Southern later maybe.,2,Rent,47,2023-09-24,,32,110.2,12,5,2003,Partially Renovated,297644.86,1190.58
154,Future upon also begin.,2,Rent,23,2025-11-22,2025-05-03,29,58.0,8,5,2024,Newly Renovated,119202.77,476.81
155,Interview floor community although.,2,Rent,30,2025-07-17,,32,160.3,7,6,2018,Newly Renovated,258418.37,1033.67
156,Others alone north.,1,Sale,41,2022-09-28,,48,135.1,9,5,1981,Partially Renovated,346697.81,1386.79
157,Though nor respond staff.,2,Sale,2,2022-02-09,2025-02-03,16,91.9,1,3,2010,Partially Renovated,172358.03,689.43
158,Least drive democratic social own.,1,Sale,22,2021-08-23,2025-05-12,33,105.4,8,1,2021,Partially Renovated,236163.84,944.66
159,Perhaps organization yourself still.,2,Rent,13,2024-04-02,2025-05-29,44,156.3,4,1,1984,Partially Renovated,217455.97,869.82
160,Five site responsibility who back.,1,Sale,16,2021-10-12,2025-01-05,25,67.7,11,1,1974,Newly Renovated,151700.84,606.8
161,Dinner why experience.,2,Sale,44,2023-03-13,2025-01-26,49,37.3,8,4,2024,Newly Renovated,69681.39,278.73
162,Social live her economic.,2,Sale,13,2024-04-13,2025-05-16,50,94.2,9,5,1986,Newly Renovated,236120.82,944.48
163,Tough cut.,2,Sale,28,2025-02-23,2025-03-24,5,59.5,12,1,2006,Newly Renovated,143827.44,575.31
164,Bed represent with safe structure.,1,Sale,45,2023-07-14,,16,143.6,10,5,1967,Not Renovated,309013.62,1236.05
165,Watch card occur.,2,Rent,47,2022-09-02,2025-03-28,18,95.7,3,3,2020,Not Renovated,134391.51,537.57
166,Loss throw.,1,Sale,1,2024-02-22,2025-01-12,33,27.0,6,5,1995,Partially Renovated,73056.08,292.22
167,Send paper in home short.,2,Sale,9,2021-04-17,,7,48.5,7,6,2011,Not Renovated,115838.89,463.36
168,Break meeting dark.,1,Rent,2,2023-03-16,,37,150.1,9,4,2009,Not Renovated,304182.39,1216.73
169,Trip whose across third before.,2,Rent,47,2021-04-08,,14,171.1,11,3,1971,Newly Renovated,258145.48,1032.58
170,Explain beat scene receive often.,1,Sale,46,2024-02-03,2024-11-30,14,157.5,7,1,1997,Newly Renovated,270227.82,1080.91
171,Say sign but.,2,Rent,11,2025-11-03,2025-04-24,18,191.9,7,6,2014,Not Renovated,377566.26,1510.27
172,You player month second key.,1,Rent,28,2022-11-10,2024-11-21,5,46.4,3,5,1985,Not Renovated,137963.87,551.86
173,Affect establish drop their establish.,1,Sale,15,2021-07-14,2025-02-14,14,28.1,8,5,1977,Newly Renovated,67800.6,271.2
174,Forget again result fast attorney.,1,Rent,19,2025-07-10,,41,59.6,2,4,2008,Partially Renovated,113552.72,454.21
175,Guess itself financial be.,1,Rent,16,2022-02-06,,16,71.1,7,6,1996,Newly Renovated,158712.26,634.85
176,Fill when great difficult.,1,Sale,48,2024-04-30,,18,79.3,11,5,1997,Partially Renovated,184908.79,739.64
177,Others social while style.,2,Sale,36,2023-09-03,2025-03-09,48,197.9,5,4,1971,Not Renovated,281033.94,1124.14
178,Good issue enjoy body executive.,1,Rent,31,2025-02-12,2025-02-21,33,53.8,5,2,1975,Partially Renovated,78304.6,313.22
179,Program still hotel.,1,Sale,14,2022-05-11,2025-01-28,13,155.3,9,5,1980,Not Renovated,198378.79,793.52
180,Try store success course.,2,Sale,27,2023-11-01,2025-01-20,1,69.8,9,4,1985,Not Renovated,136295.26,545.18
181,Offer herself become I data.,2,Sale,14,2025-07-23,2025-04-21,33,159.0,12,4,1986,Partially Renovated,229629.98,918.52
182,Area finally than television yet.,1,Rent,34,2022-05-29,2025-03-20,41,27.7,8,4,2012,Partially Renovated,42463.21,169.85
183,People describe watch.,2,Sale,29,2023-11-01,2025-04-09,40,110.8,7,4,1996,Partially Renovated,145467.44,581.87
184,Arrive until from move.,2,Sale,46,2025-08-07,2025-02-16,1,147.7,7,2,1998,Newly Renovated,393794.54,1575.18
185,Company century.,2,Rent,16,2022-07-04,2025-04-06,5,58.5,10,3,2007,Not Renovated,130546.05,522.18
186,Radio senior practice.,2,Rent,28,2022-12-08,2025-03-17,46,67.8,12,3,2005,Newly Renovated,109144.72,436.58
187,Edge movie.,1,Sale,23,2024-12-18,2025-02-18,23,59.9,7,4,2023,Partially Renovated,118275.62,473.1
188,Worker new big politics.,1,Rent,14,2021-04-23,2025-04-29,40,52.4,5,5,1967,Newly Renovated,97962.44,391.85
189,Treat so.,1,Sale,41,2021-11-12,2025-02-01,44,30.6,11,2,1971,Newly Renovated,70373.28,281.49
190,Give police ability.,2,Sale,39,2021-09-01,,33,63.4,12,6,1998,Not Renovated,108529.45,434.12
191,Life camera drive such hear.,1,Sale,11,2022-03-02,2025-02-13,37,110.0,8,4,1985,Newly Renovated,359494.61,1437.98
192,Like improve act impact guy.,1,Rent,23,2025-08-10,2024-12-13,11,44.6,1,4,1982,Newly Renovated,102522.92,410.09
193,Doctor dream.,1,Rent,27,2021-09-16,,46,71.4,3,5,1985,Not Renovated,121059.0,484.24
194,Across part goal serve able.,1,Rent,10,2024-10-15,2024-12-14,18,100.1,8,1,2003,Newly Renovated,268917.81,1075.67
195,Audience mother character.,2,Rent,14,2021-09-25,2024-12-17,12,88.7,5,2,2005,Newly Renovated,145717.17,582.87
196,Hard either reflect around.,1,Rent,25,2022-02-07,2025-01-07,5,43.5,3,4,2024,Partially Renovated,104329.79,417.32
197,Probably economic.,2,Sale,17,2025-05-10,2025-01-21,34,90.6,6,4,1972,Newly Renovated,235447.6,941.79
198,Admit citizen form gun.,1,Sale,25,2023-04-12,2024-12-12,18,63.7,3,6,2001,Partially Renovated,153389.48,613.56
199,She front quite arrive.,1,Rent,50,2023-02-23,,7,146.8,4,1,2016,Newly Renovated,394297.07,1577.19
200,May report.,2,Sale,42,2023-12-02,2025-05-20,39,105.1,11,5,1997,Newly Renovated,155589.9,622.36
201,Do office way add.,1,Rent,3,2025-09-04,2025-02-09,33,81.5,3,5,1996,Partially Renovated,179883.89,719.54
202,Husband usually who himself measure.,2,Sale,34,2021-10-07,2025-02-05,31,90.1,7,6,1974,Not Renovated,169586.86,678.35
203,Weight look already wonder.,1,Rent,36,2021-06-08,,16,173.3,6,1,1995,Not Renovated,435023.36,1740.09
204,Thus organization.,2,Rent,27,2022-03-26,2025-05-08,40,37.0,3,6,2006,Not Renovated,64193.29,256.77
205,Product final popular respond school.,1,Rent,3,2021-12-24,,34,80.3,10,2,1997,Not Renovated,77257.92,309.03
206,Generation world surface conference.,1,Sale,23,2023-11-19,2025-02-19,33,45.3,5,4,2022,Partially Renovated,124886.8,499.55
207,About quite some trade.,2,Sale,4,2024-07-28,,35,113.5,8,4,2010,Partially Renovated,270787.76,1083.15
208,Customer difference himself new.,2,Sale,44,2021-03-06,2025-01-07,15,162.7,3,6,1993,Partially Renovated,418853.24,1675.41
209,Speak enter rule leave toward.,2,Sale,47,2022-12-12,2024-12-19,42,140.8,7,5,1969,Newly Renovated,185116.89,740.47
210,Sister must staff.,2,Rent,22,2023-06-30,2025-05-29,36,100.6,12,2,2003,Not Renovated,222130.33,888.52
211,Spring lot list.,1,Rent,45,2021-12-26,2025-04-01,21,173.0,1,3,1966,Partially Renovated,180544.6,722.18
212,Direction stand only per.,1,Sale,25,2025-11-24,,29,145.3,3,3,1989,Partially Renovated,254438.29,1017.75
213,Suddenly realize go consider technology.,1,Sale,30,2023-07-19,,21,128.9,5,2,1979,Not Renovated,228102.45,912.41
214,Wonder manager several.,2,Sale,7,2024-04-02,,12,141.7,9,5,1965,Partially Renovated,280248.39,1120.99
215,Answer mind task.,1,Sale,17,2023-02-21,2025-04-24,30,25.3,2,3,1988,Newly Renovated,53587.2,214.35
216,Customer information throughout movement factor.,2,Sale,34,2023-05-09,2025-04-27,9,109.6,3,6,2001,Newly Renovated,178948.94,715.8
217,Make quite beautiful as.,2,Rent,1,2022-03-31,2025-03-23,48,196.2,6,1,2002,Not Renovated,256085.46,1024.34
218,Argue next team recent.,1,Rent,40,2025-05-25,2025-02-27,32,96.5,6,3,2013,Not Renovated,215170.51,860.68
219,Memory let despite mission market.,1,Sale,37,2024-07-11,2025-05-28,47,92.3,7,4,2005,Not Renovated,100044.08,400.18
220,Exactly idea force store.,2,Sale,25,2024-03-24,,22,163.7,7,2,2019,Partially Renovated,285889.71,1143.56
221,Product last wide in form.,2,Rent,16,2021-08-11,,32,125.0,6,5,1971,Newly Renovated,371240.95,1484.96
222,Scientist season.,2,Rent,12,2022-08-30,2025-05-04,34,149.0,6,5,2003,Newly Renovated,403963.78,1615.86
223,Both compare.,1,Sale,4,2021-10-06,,38,41.7,8,5,1983,Not Renovated,54799.29,219.2
224,Shoulder carry worry accept.,1,Sale,44,2023-04-11,2025-05-26,27,36.4,11,2,2002,Newly Renovated,85849.36,343.4
225,Reason whole four day.,1,Sale,14,2022-01-16,,32,61.5,3,2,2023,Partially Renovated,156350.96,625.4
226,Where fight.,2,Rent,12,2022-11-11,,35,167.0,4,3,2002,Newly Renovated,241543.09,966.17
227,Different clearly cut protect.,2,Rent,20,2023-03-24,,19,55.6,1,6,1989,Partially Renovated,120894.39,483.58
228,Music baby.,2,Sale,16,2023-12-17,2025-05-01,32,40.2,6,4,2012,Newly Renovated,97425.28,389.7
